time,risk_set,failures,survival,se,lower95,upper95,
0.007107,200,1,1.000000,0.000000,1.000000,1.000000
0.007936,199,1,0.995000,0.005013,0.985175,1.000000
0.008032,198,1,0.990000,0.007089,0.976106,1.000000
0.009498,197,1,0.985000,0.008682,0.967983,1.000000
0.015388,196,1,0.980000,0.010026,0.960350,0.999650
0.041643,195,1,0.975000,0.011209,0.953030,0.996970
0.048403,194,1,0.970000,0.012279,0.945933,0.994067
0.053878,193,1,0.965000,0.013263,0.939004,0.990996
0.056602,192,1,0.960000,0.014179,0.932209,0.987791
0.060493,191,1,0.955000,0.015039,0.925523,0.984477
0.064295,190,1,0.950000,0.015853,0.918928,0.981072
0.070548,189,1,0.945000,0.016627,0.912411,0.977589
0.070850,188,1,0.940000,0.017367,0.905961,0.974039
0.077981,186,1,0.935000,0.018174,0.899380,0.970620
0.086628,185,1,0.929973,0.018860,0.893008,0.966939
0.088239,184,1,0.924946,0.019522,0.886683,0.963210
0.090754,183,1,0.919919,0.020163,0.880400,0.959438
0.094090,181,1,0.914892,0.020899,0.873931,0.955854
0.094367,180,1,0.909838,0.021505,0.867688,0.951987
0.097019,179,1,0.904783,0.022095,0.861478,0.948088
0.099336,178,1,0.899729,0.022669,0.855298,0.944159
0.103765,177,1,0.894674,0.023229,0.849145,0.940203
0.103961,176,1,0.889619,0.023776,0.843018,0.936220
0.123730,173,1,0.884565,0.024593,0.836363,0.932766
0.125379,172,1,0.879451,0.025122,0.830212,0.928691
0.129723,171,1,0.874338,0.025641,0.824083,0.924594
0.129784,170,1,0.869225,0.026149,0.817974,0.920477
0.131486,169,1,0.864112,0.026647,0.811883,0.916341
0.136791,168,1,0.858999,0.027137,0.805811,0.912187
0.137231,167,1,0.853886,0.027618,0.799755,0.908017
0.143992,166,1,0.848773,0.028090,0.793716,0.903830
0.149462,165,1,0.843660,0.028555,0.787692,0.899628
0.160080,164,1,0.838547,0.029013,0.781682,0.895411
0.165453,163,1,0.833434,0.029463,0.775686,0.891181
0.166031,162,1,0.828321,0.029907,0.769704,0.886938
0.167763,160,1,0.823207,0.030534,0.763361,0.883054
0.176277,159,1,0.818062,0.030968,0.757366,0.878759
0.181485,157,1,0.812917,0.031596,0.750989,0.874846
0.185291,156,1,0.807740,0.032021,0.744978,0.870501
0.199629,154,1,0.802562,0.032652,0.738565,0.866559
0.202409,153,1,0.797350,0.033068,0.732536,0.862164
0.213657,151,1,0.792139,0.033702,0.726082,0.858195
0.230456,149,1,0.786893,0.034341,0.719584,0.854202
0.230818,148,1,0.781612,0.034748,0.713505,0.849719
0.238252,146,1,0.776331,0.035393,0.706961,0.845700
0.241466,145,1,0.771013,0.035793,0.700858,0.841168
0.242044,144,1,0.765696,0.036190,0.694764,0.836628
0.245648,143,1,0.760379,0.036582,0.688678,0.832079
0.245906,142,1,0.755061,0.036970,0.682600,0.827522
0.249704,141,1,0.749744,0.037354,0.676530,0.822958
0.250633,139,1,0.744427,0.038007,0.669933,0.818920
0.259838,137,1,0.739071,0.038667,0.663284,0.814859
0.262744,135,1,0.733676,0.039336,0.656578,0.810774
0.266572,133,1,0.728242,0.040013,0.649816,0.806667
0.271737,131,1,0.722766,0.040699,0.642995,0.802537
